"filename", "language", "Markdown", "pip requirements", "XML", "SQLite", "Python", "JSON", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-10-28_12-39-22/details.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 6, 37
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-10-28_12-39-22/diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 6, 15
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-10-28_12-39-22/diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 7, 19
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-10-28_12-39-22/results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-10-28_12-39-22/results.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 7, 29
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/details.md", "Markdown", 37, 0, 0, 0, 0, 0, 0, 6, 43
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/diff-details.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 6, 31
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/diff.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 7, 29
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/results.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 7, 33
"/home/lars/Projects/music-downloader/.idea/dataSources.xml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 12
"/home/lars/Projects/music-downloader/.idea/inspectionProfiles/profiles_settings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"/home/lars/Projects/music-downloader/.idea/misc.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/lars/Projects/music-downloader/.idea/modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 8
"/home/lars/Projects/music-downloader/.idea/music-downloader.iml", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 10
"/home/lars/Projects/music-downloader/.idea/vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"/home/lars/Projects/music-downloader/README.md", "Markdown", 99, 0, 0, 0, 0, 0, 0, 36, 135
"/home/lars/Projects/music-downloader/assets/database_structure.sql", "SQLite", 0, 0, 0, 51, 0, 0, 0, 6, 57
"/home/lars/Projects/music-downloader/requirements.txt", "pip requirements", 0, 8, 0, 0, 0, 0, 0, 0, 8
"/home/lars/Projects/music-downloader/src/download.py", "Python", 0, 0, 0, 0, 57, 0, 11, 19, 87
"/home/lars/Projects/music-downloader/src/download_links.py", "Python", 0, 0, 0, 0, 41, 0, 3, 15, 59
"/home/lars/Projects/music-downloader/src/main.py", "Python", 0, 0, 0, 0, 98, 0, 0, 30, 128
"/home/lars/Projects/music-downloader/src/metadata/database.py", "Python", 0, 0, 0, 0, 153, 0, 61, 38, 252
"/home/lars/Projects/music-downloader/src/metadata/database_structure.sql", "SQLite", 0, 0, 0, 51, 0, 0, 0, 6, 57
"/home/lars/Projects/music-downloader/src/metadata/download.py", "Python", 0, 0, 0, 0, 270, 0, 24, 67, 361
"/home/lars/Projects/music-downloader/src/metadata/metadata.py", "Python", 0, 0, 0, 0, 106, 0, 9, 28, 143
"/home/lars/Projects/music-downloader/src/metadata/object_handeling.py", "Python", 0, 0, 0, 0, 19, 0, 0, 6, 25
"/home/lars/Projects/music-downloader/src/metadata/options.py", "Python", 0, 0, 0, 0, 87, 0, 8, 24, 119
"/home/lars/Projects/music-downloader/src/metadata/search.py", "Python", 0, 0, 0, 0, 257, 0, 39, 75, 371
"/home/lars/Projects/music-downloader/src/scraping/musify.py", "Python", 0, 0, 0, 0, 112, 0, 2, 40, 154
"/home/lars/Projects/music-downloader/src/scraping/phonetic_compares.py", "Python", 0, 0, 0, 0, 15, 0, 0, 8, 23
"/home/lars/Projects/music-downloader/src/scraping/youtube_music.py", "Python", 0, 0, 0, 0, 66, 0, 2, 17, 85
"/home/lars/Projects/music-downloader/src/test.py", "Python", 0, 0, 0, 0, 18, 0, 1, 6, 25
"/home/lars/Projects/music-downloader/src/url_to_path.py", "Python", 0, 0, 0, 0, 27, 0, 6, 13, 46
"Total", "-", 283, 8, 46, 102, 1326, 2, 166, 486, 2419
