"filename", "language", "Python", "Markdown", "SQLite", "XML", "pip requirements", "JSON", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-10-28_12-39-22/details.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 6, 37
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-10-28_12-39-22/diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 6, 15
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-10-28_12-39-22/diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 7, 19
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-10-28_12-39-22/results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-10-28_12-39-22/results.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 7, 29
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/details.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 6, 43
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/diff-details.md", "Markdown", 0, 25, 0, 0, 0, 0, 0, 6, 31
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/diff.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 7, 29
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-07_11-51-29/results.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 7, 33
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-08_16-41-25/details.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 6, 49
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-08_16-41-25/diff-details.md", "Markdown", 0, 25, 0, 0, 0, 0, 0, 6, 31
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-08_16-41-25/diff.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 7, 28
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-08_16-41-25/results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-08_16-41-25/results.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 7, 35
"/home/lars/Projects/music-downloader/.idea/dataSources.xml", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 12
"/home/lars/Projects/music-downloader/.idea/inspectionProfiles/profiles_settings.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/lars/Projects/music-downloader/.idea/misc.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 4
"/home/lars/Projects/music-downloader/.idea/modules.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 9
"/home/lars/Projects/music-downloader/.idea/music-downloader.iml", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 11
"/home/lars/Projects/music-downloader/.idea/vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/lars/Projects/music-downloader/README.md", "Markdown", 0, 102, 0, 0, 0, 0, 0, 36, 138
"/home/lars/Projects/music-downloader/assets/database_structure.sql", "SQLite", 0, 0, 51, 0, 0, 0, 0, 6, 57
"/home/lars/Projects/music-downloader/notes.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/lars/Projects/music-downloader/requirements.txt", "pip requirements", 0, 0, 0, 0, 7, 0, 0, 0, 7
"/home/lars/Projects/music-downloader/src/download.py", "Python", 57, 0, 0, 0, 0, 0, 11, 19, 87
"/home/lars/Projects/music-downloader/src/download_links.py", "Python", 41, 0, 0, 0, 0, 0, 3, 15, 59
"/home/lars/Projects/music-downloader/src/lyrics/genius.py", "Python", 108, 0, 0, 0, 0, 0, 39, 38, 185
"/home/lars/Projects/music-downloader/src/lyrics_.py", "Python", 44, 0, 0, 0, 0, 0, 19, 22, 85
"/home/lars/Projects/music-downloader/src/main.py", "Python", 104, 0, 0, 0, 0, 0, 3, 31, 138
"/home/lars/Projects/music-downloader/src/metadata/database.py", "Python", 155, 0, 0, 0, 0, 0, 61, 38, 254
"/home/lars/Projects/music-downloader/src/metadata/database_structure.sql", "SQLite", 0, 0, 51, 0, 0, 0, 0, 6, 57
"/home/lars/Projects/music-downloader/src/metadata/download.py", "Python", 272, 0, 0, 0, 0, 0, 25, 68, 365
"/home/lars/Projects/music-downloader/src/metadata/metadata.py", "Python", 106, 0, 0, 0, 0, 0, 9, 28, 143
"/home/lars/Projects/music-downloader/src/metadata/object_handeling.py", "Python", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/home/lars/Projects/music-downloader/src/metadata/options.py", "Python", 87, 0, 0, 0, 0, 0, 8, 24, 119
"/home/lars/Projects/music-downloader/src/metadata/search.py", "Python", 257, 0, 0, 0, 0, 0, 40, 75, 372
"/home/lars/Projects/music-downloader/src/scraping/musify.py", "Python", 103, 0, 0, 0, 0, 0, 2, 37, 142
"/home/lars/Projects/music-downloader/src/scraping/phonetic_compares.py", "Python", 15, 0, 0, 0, 0, 0, 0, 8, 23
"/home/lars/Projects/music-downloader/src/scraping/youtube_music.py", "Python", 67, 0, 0, 0, 0, 0, 2, 18, 87
"/home/lars/Projects/music-downloader/src/tools/object_handeling.py", "Python", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/home/lars/Projects/music-downloader/src/tools/phonetic_compares.py", "Python", 22, 0, 0, 0, 0, 0, 0, 10, 32
"/home/lars/Projects/music-downloader/src/url_to_path.py", "Python", 27, 0, 0, 0, 0, 0, 6, 13, 46
"Total", "-", 1503, 414, 102, 48, 7, 3, 228, 584, 2889
