,id,album,title,artist,album_artist,tracknumber,albumsort,titlesort,isrc,date,year,musicbrainz_artistid,musicbrainz_albumid,musicbrainz_albumartistid,musicbrainz_albumstatus,total_tracks,language,musicbrainz_albumtype,compilation,releasecountry,barcode,url,src
0,adae3514-9f16-4164-849b-a64f9d49770a,Hurra die Welt geht unter,Wir,['K.I.Z'],K.I.Z,1,0,1,DEUM71500709,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=WizfUqQZyns,youtube
1,9c566dc6-d7d6-42eb-9e4f-471824ea3d8f,Hurra die Welt geht unter,Geld,['K.I.Z'],K.I.Z,2,0,2,DEUM71500710,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=PZd1zNX0tjs,youtube
2,23d60d4c-f2b3-401e-94e0-0a3e6353d4bf,Hurra die Welt geht unter,Glücklich und satt,['K.I.Z'],K.I.Z,3,0,3,DEUM71500711,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=s-FU9TVq9Wk,youtube
3,7177e7dc-813a-4e1e-8d36-1d4e38eeb796,Hurra die Welt geht unter,Boom Boom Boom,['K.I.Z'],K.I.Z,4,0,4,DEUM71500712,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=NDbKzEJtqRs,youtube
4,00192a27-f412-4eb0-a111-5cc1faa9b2d7,Hurra die Welt geht unter,AMG Mercedes,['K.I.Z'],K.I.Z,5,0,5,DEUM71500713,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=GsBtsh6fdKQ,youtube
5,960e130a-53e7-4b0e-b720-c23347d2d728,Hurra die Welt geht unter,Freier Fall,['K.I.Z'],K.I.Z,6,0,6,DEUM71500714,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=rWX-O3uu_GU,youtube
6,24fbd3e5-28f5-42d3-9aff-b5356ad08470,Hurra die Welt geht unter,Ariane,['K.I.Z'],K.I.Z,7,0,7,DEUM71500715,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=x3rQam9YyQo,youtube
7,bd087625-4cc8-4b34-8837-31d0690b7aca,Hurra die Welt geht unter,Käfigbett,['K.I.Z'],K.I.Z,8,0,8,DEUM71500716,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=ERCLP3d5GMU,youtube
8,032a80d1-f211-4dd4-ac68-f125a09a4be8,Hurra die Welt geht unter,Verrückt nach dir,['K.I.Z'],K.I.Z,9,0,9,DEUM71500717,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=adtEjaZP1NI,youtube
9,a9d08fbc-d275-4427-a1d9-adc1c79e083a,Hurra die Welt geht unter,Ehrenlos,['K.I.Z'],K.I.Z,10,0,10,DEUM71500718,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=2ZJ9dJJRcic,youtube
10,80f2b1b0-9a95-4fd0-a886-546e9dd8ceff,Hurra die Welt geht unter,Superstars,"['K.I.Z', 'Sefo']",K.I.Z,11,0,11,DEUM71500719,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=_lyVnfIfeqk,youtube
11,4db0ff20-321f-49f3-b20b-a17fc6f3709b,Hurra die Welt geht unter,Was würde Manny Marc tun?,"['K.I.Z', 'Audio88', 'Yassin', 'Manny Marc']",K.I.Z,12,0,12,DEUM71500720,2015-07-10,2015,13c9c494-09aa-4518-8572-9f41dbdff461,27d0fac9-c7d2-48ef-8739-6b839ed7c461,13c9c494-09aa-4518-8572-9f41dbdff461,Official,13,deu,Album,,DE,602547326324,https://www.youtube.com/watch?v=3YyjUFBLMNE,youtube
