Date : 2023-05-24 11:17:57
Directory : /home/lars/Projects/music-downloader/src
Total : 89 files,  6536 codes, 1157 comments, 1980 blanks, all 9673 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |         87 |      6,329 |      1,157 |      1,960 |      9,446 |
| SQLite   |          2 |        207 |          0 |         20 |        227 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |         89 |      6,536 |      1,157 |      1,980 |      9,673 |
| . (Files)                                                                                              |          7 |        175 |          2 |         56 |        233 |
| music_kraken                                                                                           |         77 |      6,074 |      1,137 |      1,845 |      9,056 |
| music_kraken (Files)                                                                                   |          2 |        277 |         24 |         81 |        382 |
| music_kraken/audio                                                                                     |          3 |         92 |          4 |         35 |        131 |
| music_kraken/connection                                                                                |          3 |        190 |          4 |         45 |        239 |
| music_kraken/database                                                                                  |          3 |        226 |         71 |         91 |        388 |
| music_kraken/download                                                                                  |          5 |        257 |         25 |        112 |        394 |
| music_kraken/not_used_anymore                                                                          |         14 |      1,063 |        117 |        322 |      1,502 |
| music_kraken/not_used_anymore (Files)                                                                  |          3 |        129 |         13 |         39 |        181 |
| music_kraken/not_used_anymore/metadata                                                                 |          5 |        561 |         70 |        153 |        784 |
| music_kraken/not_used_anymore/metadata (Files)                                                         |          3 |        516 |         64 |        139 |        719 |
| music_kraken/not_used_anymore/metadata/sources                                                         |          2 |         45 |          6 |         14 |         65 |
| music_kraken/not_used_anymore/sources                                                                  |          6 |        373 |         34 |        130 |        537 |
| music_kraken/objects                                                                                   |         11 |      1,197 |        336 |        365 |      1,898 |
| music_kraken/pages                                                                                     |          6 |      1,489 |        430 |        440 |      2,359 |
| music_kraken/static_files                                                                              |          2 |        207 |          0 |         20 |        227 |
| music_kraken/utils                                                                                     |         28 |      1,076 |        126 |        334 |      1,536 |
| music_kraken/utils (Files)                                                                             |          7 |        143 |         30 |         60 |        233 |
| music_kraken/utils/config                                                                              |          8 |        652 |         72 |        177 |        901 |
| music_kraken/utils/enums                                                                               |          3 |         56 |          7 |         14 |         77 |
| music_kraken/utils/exception                                                                           |          2 |         15 |          8 |          8 |         31 |
| music_kraken/utils/path_manager                                                                        |          4 |         58 |          9 |         29 |         96 |
| music_kraken/utils/support_classes                                                                     |          4 |        152 |          0 |         46 |        198 |
| tests                                                                                                  |          5 |        287 |         18 |         79 |        384 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                               | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/lars/Projects/music-downloader/src/__init__.py                                                   | Python   |          0 |          0 |          1 |          1 |
| /home/lars/Projects/music-downloader/src/actual_donwload.py                                            | Python   |         43 |          2 |         18 |         63 |
